,1,2,bool
C1CN[CH]1,2,2,True
[CH2]C([CH2])[C],2,2,True
[R1]NC(=O)C([CH2])[CH2],2,2,True
[CH2]CC(C[CH2])C(=O)[NH],1,1,True
[CH2]C([C])CC[NH],1,1,True
[CH2]NCC[CH],4,4,True
[CH2]CNC[CH2],4,4,True
[CH]C[NH],45,45,True
[CH2]CC(C[NH])C(=O)[NH],1,1,True
[CH2]CCC([CH2])[C],1,1,True
[CH]CCC[NH],1,1,True
[CH2]CNC[CH],1,1,True
[CH2]C([C])CN[CH2],1,1,True
[CH]C=[N],41,41,True
[C]=C[N],61,61,True
[R1]NC(=O)C(=[CH])[CH],2,2,True
[CH]=CC(=C[N])C(=O)[NH],2,2,True
[CH]C=CC(=[CH])[C],12,12,True
[C]C=CC=[N],41,41,True
[CH]=CC=N[CH],41,41,True
[CH]C=NC=[C],41,41,True
[CH]C(=CN=[CH])[C],2,2,True
[R1]NC(=O)CN,10,10,True
C(C(=O)[NH])N,25,25,True
CC(C)([C])N,3,3,True
[R1]NC(=O)C(C)(C)N,3,3,True
CC(C)(C(=O)[NH])N,3,3,True
[CH2]CC(C(=O)[NH])N[CH2],1,1,True
[CH2]CCC([C])[NH],1,1,True
[CH2]CCC[NH],1,1,True
[CH2]CCN[CH],5,5,True
[CH2]CNC([CH2])[C],1,1,True
[C]C[O],6,6,True
[R1]NC(=O)C[O],1,1,True
COCC(=O)[NH],1,1,True
COC[C],2,2,True
[R1]C(=[CH])[O],23,23,True
[CH]C=[C],131,131,True
[CH]=C[O],49,49,True
[CH]O[C],48,48,True
[R1]c1ccco1,69,69,True
c1c[c]oc1,56,56,True
[C]C(=O)[O],32,32,True
[CH]=C([C])C=C[C],169,169,True
[CH]=CC(=C[CH])C(=O)[O],32,32,True
COC(=O)C(=[CH])[CH],32,32,True
COC(=O)[C],32,32,True
CC(=[CH])[CH],20,20,True
CC(=[CH])C=C[C],16,16,True
CC(=C[CH])C=[CH],4,4,True
[C]=C[NH],50,50,True
[CH2]C=[CH],13,13,True
[R1]C(=C[NH])C=[CH],13,13,True
[R1]C(=CN[CH2])[CH],13,13,True
[CH]CNC=[C],13,13,True
[CH]=CCN[CH],13,13,True
[C]C=CC[NH],13,13,True
[R1]C(=[CH])C=C[CH2],13,13,True
[R1]C(=[CH])[S],47,47,True
[CH]=C[S],94,94,True
[CH]S[C],69,69,True
[R1]c1cccs1,81,81,True
c1c[c]sc1,100,100,True
[C]C(F)(F)F,48,48,True
[CH]=CC(=C[CH])C(F)(F)F,18,18,True
[CH]=C([CH])C(F)(F)F,27,27,True
[R1]C(F)(F)F,2,2,True
[R1]C(=C([CH])[O])C=[CH],49,49,True
[CH]C=CC(=[C])[O],70,70,True
[R1]C(=C(C=[CH])OC)[CH],19,19,True
CC(C)(C)[C],1,1,True
CC(C)(C)C(=C[CH])C=[CH],1,1,True
CC(C)(C)C(=[CH])[CH],1,1,True
[Br],20,20,True
[CH]=C([CH])Br,20,20,True
[C]Br,20,20,True
[CH]=C(C=C[C])Br,20,20,True
[CH]=CC(=C[CH])Br,14,14,True
[R1]C(=[CH])C=C[CH],109,109,True
[CH]=CC=C[CH],98,98,True
[CH2]C(=[CH])C=C[CH],138,138,True
[CH]=CC=C([CH])[O],63,63,True
COC(=C[CH])C=[C],36,36,True
